FID,Shape *,COUNTYNS,GEOID,NAMELSAD,INTPTLAT,INTPTLON,GEO_id2,Pop,House,Income,Age,Unemployme
0,Polygon,1581115,55111,Sauk County,43.4279976,-89.943329,55111,63340,25678,68654,41.3,3.6
1,Polygon,1581121,55123,Vernon County,43.5993661,-90.8219835,55123,30378,12095,63270,42.3,2.9
2,Polygon,1581092,55065,Lafayette County,42.6555782,-90.1302916,55065,16755,6714,67069,41.6,2.7
3,Polygon,1581113,55105,Rock County,42.6698802,-89.0752844,55105,161226,64482,66222,39.3,6.4
4,Polygon,1581071,55023,Crawford County,43.24991,-90.9512302,55023,16313,6610,58935,45.7,4.1
5,Polygon,1581082,55045,Green County,42.6755218,-89.6050743,55045,36869,14957,73263,42.8,2.6
6,Polygon,1581060,55001,Adams County,43.9737629,-89.7672232,55001,20111,8163,57107,52.6,8.1
7,Polygon,1581072,55025,Dane County,43.0674684,-89.4178523,55025,522837,216930,88764,34.8,3.8
8,Polygon,1581112,55103,Richland County,43.3761994,-90.4356927,55103,17626,7564,58239,44.8,3.5
9,Polygon,1581084,55049,Iowa County,43.0010208,-90.1336915,55049,23576,9799,76989,42.5,3.5
10,Polygon,1581081,55043,Grant County,42.8700275,-90.6942288,55043,51742,19444,60989,35.6,3.5
11,Polygon,1581070,55021,Columbia County,43.4718818,-89.3304721,55021,56790,23317,75732,42.4,3.8
12,Polygon,1581088,55057,Juneau County,43.9328362,-90.1139837,55057,26427,10149,61146,45.2,4.3
